Equipo,Ciudad,Estadio,Capacidad,Historia fundacional,X,Y
Agropecuario,Carlos Casares,Ofelia Rosenzuaig,8000,,,
Aldosivi,Mar del Plata,José María Minella,35 180,,-38.017944,-57.582333
All Boys,Buenos Aires,Islas Malvinas,21 500,,-34.6165,-58.49775
Almagro,José Ingenieros,Tres de Febrero,19 000,,-34.614167,-58.535
Almirante Brown,San Justo,Fragata Presidente Sarmiento,25 000,,-34.694981,-58.586814
Alvarado,Mar del Plata,José María Minella,35 354,,-38.017944,-57.582333
Atlanta,Buenos Aires,Don León Kolbowsky,18 000,,-34.59497,-58.449261
Atlético de Rafaela,Rafaela,Nuevo Monumental,20 000,,-31.250833,-61.481389
Brown,Adrogué,Lorenzo Arandilla,4500,,-34.8071,-58.38
Chacarita Juniors,Villa Maipú,Chacarita Juniors,26 530,,-34.567389,-58.528167389
Chaco For Ever,Resistencia,Juan Alberto García,25 000,,-27.4698,-58.967
Defensores de Belgrano,Buenos Aires,Juan Pasquale,10 000,,-34.5412,-58.4618
Defensores Unidos,Zárate,Gigante de Villa Fox,6000,,,
Deportivo Madryn,Puerto Madryn,Abel Sastre,8000,,-42.747003,-65.042859
Deportivo Maipú,Maipú,Omar Higinio Sperdutti,8000,,-32.9837,-68.792778
Deportivo Morón,Morón,Nuevo Francisco Urbano,35 000,,-34.662222,-58.631667
Deportivo Riestra,Buenos Aires,Guillermo Laza,4000,,-34.653333,-58.443611
Estudiantes,Caseros,Ciudad de Caseros,16 740,,-34.606056,-58.55675
Estudiantes,Rio Cuarto,Antonio Candini,11 000,,-33.1153,-64.3478
Ferro Carril Oeste,Buenos Aires,Arquitecto Ricardo Etcheverri,24 442,,-34.6185,-58.447639
Flandria,José María Jáuregui,Carlos V,5000,,-34.587275,-59.182136
Gimnasia y Esgrima,Jujuy,23 de Agosto,24 000,,-24.198611,-65.290833
Gimnasia y Esgrima,Mendoza,Víctor Antonio Legrotaglie,14 000,,-32.88425,-68.863556
Güemes,Santiago del Estero,Arturo Miranda,12 000,,,
Guillermo Brown,Puerto Madryn,Raúl Conti,14 500,,-42.778022,-65.038394
Independiente Rivadavia,Mendoza,Bautista Gargantini,24 000,,-32.890786,-68.862777
Mitre,Santiago del Estero,Doctores José y Antonio Castiglione,16 500,,,
Nueva Chicago,Buenos Aires,Nueva Chicago,25 000,,-34.667919,-58.4996
Patronato,Paraná,Presbítero Bartolomé Grella,22 000,,-31.743031,-60.507597
Quilmes,Quilmes,Centenario Ciudad de Quilmes,32 200,,-34.741778,-58.251889
Racing,Córdoba,Miguel Sancho,24 000,,-31.3895,-64.14326
San Martín,San Juan,Ingeniero Hilario Sánchez,26 000,,-31.519847,-68.530289
San Martín,San Miguel de Tucumán,La Ciudadela,30 500,,-26.836281,-65.229606
San Telmo,Isla Maciel,Doctor Osvaldo Baletto,10 000,,-34.6439,-58.3528
Temperley,Turdera,Alfredo Beranger,26 000,,-34.782286,-58.399508
Tristán Suárez,Tristán Suárez,20 de Octubre,7500,,-34.890647,-58.563264
Villa Dálmine,Campana,El Coliseo de Mitre y Puccini,11 250,,-34.161389,-58.9775
