Equipo,Localidad,Estadio,Capacidad,Historia fundacional,y,x
Acassuso,Boulogne,La Quema n. 1?,800,,,
Argentino de Merlo,Merlo,Juan Carlos Brieva,11000,,,
Argentino de Quilmes,Quilmes,Argentino de Quilmes,7000,,-34.7155,-58.249
Cañuelas,Cañuelas,Jorge Alfredo Arín,1500,,,
Colegiales,Munro,Libertarios Unidos,6500,,-34.5381,-58.5257
Comunicaciones,Buenos Aires,Alfredo Ramos,3500,,-34.593722,-58.488528
Deportivo Armenio,Ingeniero Maschwitz,Armenia,10 500,,,
Deportivo Merlo,Parque San Martín,José Manuel Moreno,10 000,,-34.680408,-58.732975
Dock Sud,Dock Sud,De Los Inmigrantes,9000,,,
Fénix,Buenos Aires,No posee n. 2?,-,,,
Ituzaingó,Ituzaingó,Carlos Sacaan,3500,,,
Los Andes,Lomas de Zamora,Eduardo Gallardón,38 000,,-34.755270,-58.419831
Sacachispas,Buenos Aires,Beto Larrosa,4000,,,
San Miguel,Los Polvorines,Malvinas Argentinas,9000,,,
Talleres,Remedios de Escalada,Talleres,15 000,,-34.72178,-58.40405
UAI Urquiza,Villa Lynch,Monumental de Villa Lynch,1000,,-34.595733,-58.525636
Villa San Carlos,Berisso,Genacio Sálice,4000,,-34.873602,-57.86176
